ID;Name;Categories;Price;Short desc.;Features;Images URL;Quantity
481222;Taśma LED zewnętrzna IP65 ściemnialna 400 lm/m 2 m INSPIRE;Ledy;31,88 ;.;Źródło światła w zestawie: Tak>Długość (w m): 2>Klasa szczelności (IP + IK): IP65 >Strumień świetlny (w lumenach): 800>Zmiana kolorów: Tak>Barwa światła: Od białego ciepłego do białego zimnego>Zmiana barwy światła: Tak>Klasa ochronności: 2: urządzenie elektryczne z podwójną izolacją>Szerokość (w cm): 1.57>Materiał wykonania: Tworzywo sztuczne>Przeznaczenie: Do każdego rodzaju pomieszczeń>Typ instalacji: Do mocowania>Możliwość ściemniania: Tak>Zasilanie: Sieć zasilająca>Zapłon: Pilot>Kubatura ochrony: 2>Pobór mocy (w W): 18>Napięcie (w V): 230>Pilot na wyposażeniu: Nie>Transformator w zestawie: Nie>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276000701095>Numer referencyjny: 82260890>Cena: 31,88zł /szt;http://localhost/src_img/1/1.jpg>http://localhost/src_img/1/2.jpg>http://localhost/src_img/1/3.jpg>http://localhost/src_img/1/4.jpg>http://localhost/src_img/1/5.jpg>;50
481220;Taśma LED zewnętrzna IP65 RGBW 400 lm/m 5 m INSPIRE;Ledy;109 ;.;Źródło światła w zestawie: Tak>Długość (w m): 5>Klasa szczelności (IP + IK): IP65 >Strumień świetlny (w lumenach): 400>Zmiana kolorów: Tak>Barwa światła: RGB różnokolorowy>Zmiana barwy światła: Tak>Klasa ochronności: 2: urządzenie elektryczne z podwójną izolacją>Szerokość (w cm): 1.57>Materiał wykonania: Tworzywo sztuczne>Przeznaczenie: Do każdego rodzaju pomieszczeń>Typ instalacji: Do mocowania>Możliwość ściemniania: Tak>Zasilanie: Sieć zasilająca>Zapłon: Pilot>Kubatura ochrony: 2>Pobór mocy (w W): 45>Napięcie (w V): 230>Pilot na wyposażeniu: Nie>Transformator w zestawie: Nie>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276000701156>Numer referencyjny: 82260896>Cena: 109zł /szt;http://localhost/src_img/2/1.jpg>http://localhost/src_img/2/2.jpg>http://localhost/src_img/2/3.jpg>http://localhost/src_img/2/4.jpg>http://localhost/src_img/2/5.jpg>http://localhost/src_img/2/6.jpg>http://localhost/src_img/2/7.jpg>http://localhost/src_img/2/8.jpg>http://localhost/src_img/2/9.jpg>;50
637931;Sterownik Mini Tuya biały 12-24 V IP20 Goldlux;Ledy;54,99 ;"Sterownik mini Tuya do taśm LED pomaga sterować jednokolorowmi taśmami za pomocą WiFi z dowolnego miejsca. Posiada funkcje: Schedule: wyłącznik czasowy, włączanie i wyłączanie światła o określonych porach; Left Time: automatyczne włączenie światła po odliczaniu zadanego czasu; oraz tryb ""nie przeszkadzać' gdy zasilaie jest włączone. Aby włączyć światło z poziomu aplikacji, zasilanie musi być włączone dwa razy z rzędu.   INTERFEJS - możesz dostosować jasność świecenia taśmy LED.   SCENY - dostępność różnych trybów, możwiwość wybrania preferowanego trybu lub stworzenie indywidualnego. Możliwość sterowania przez osobę trzecią poprzez jej dodanie zgodnie ze wskazówkami w aplikacji.";Klasa szczelności (IP + IK): IP20 >Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Długość (w cm): 34.5>Ilość sztuk w opakowaniu: 1>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508320292>Numer referencyjny: 85683562>Cena: 54,99zł /szt;http://localhost/src_img/3/1.jpg>http://localhost/src_img/3/2.jpg>;50
637547;Włącznik dotykowy ze ściemniaczem czarny 12-24 V IP20 Goldlux;Ledy;19,99 ;Włącznik dotykowy ze ściemniaczem czarny do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Moc zmanionowa produktu: 12V 2A = 24W / 24V 2A = 48W.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321473>Numer referencyjny: 85622877>Cena: 19,99zł /szt;http://localhost/src_img/4/1.jpg>;50
637542;Włącznik dotykowy ze ściemniaczem biały 12-24 V Goldlux;Ledy;19,99 ;Włącznik dotykowy ze ściemniaczem biały do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Moc zmanionowa produktu: 12V 2A = 24W / 24V 2A = 48W.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321466>Numer referencyjny: 85622876>Cena: 19,99zł /szt;http://localhost/src_img/5/1.jpg>;50
637541;Włącznik dotykowy mini 12-24 V IP20 Goldlux;Ledy;39,99 ;Włącznik dotykowy ze ściemniaczem do zabudowy do jednokolorowych taśm led 12-24V. Oświetlenie włącza i wyłącza się poprzez dotknięcie palcem przycisku. Dłuższe przytrzymanie reguluje jasność oświetlenia. Średnica otworu montażowego 17mm. Moc zmanionowa produktu: 12V 3A = 36W / 24V 3A = 72W.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321459>Numer referencyjny: 85622875>Cena: 39,99zł /szt;http://localhost/src_img/6/1.jpg>;50
637539;Włącznik dotykowy ze ściemniaczem 12-24 V RGBW Goldlux;Ledy;109 ;Podtynkowy włącznik dotykowy ze ściemniaczem do taśm LED RGBW 12-24V 4-kanałowy z puszką montażową w zestawie. Urządzenie służy do łatwego i szybkiego zarządzania matężeniem światła. Możliwość podłączenia wielu taśm o łącznej mocy nie przekraczającej 192W (dla 12V) i 384W (dla 24V).;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321329>Numer referencyjny: 85622874>Cena: 109zł /szt;http://localhost/src_img/7/1.jpg>http://localhost/src_img/7/2.jpg>http://localhost/src_img/7/3.jpg>;50
637537;Pilot i sterownik RGBW 12-24 V IP20 Goldlux;Ledy;49,99 ;"Praktyczny zestaw: pilot + mini sterownik do taśm LED RGB+W 12-24V, 6A, 2,4GHz. Do zdalnego sterowania oświetleniem LED w pomieszczeniu. Pilot radiowy z wieloma funkcjami jak: dowolny wybór koloru z koła barw; skokowe zmiany barw i odcieni; automatyczne zapętlone odtwarzanie trybów.  Wymiary: pilot 11x5,2x2,3 cm / sterownik 32,2x1,4x1,03 cm.";Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508319364>Numer referencyjny: 85622872>Cena: 49,99zł /szt;http://localhost/src_img/8/1.jpg>;50
637527;Pilot i sterownik Mono 5-24 V IP20 Goldlux;Ledy;24,99 ;"Praktyczny zestaw: pilot + mini sterownik do taśm LED RGB+W 5-24V, 12A, 433MHz. Do zdalnego sterowania oświetleniem LED w pomieszczeniu. Pilot radiowy z wieloma funkcjami jak: dowolny wybór koloru z koła barw; skokowe zmiany barw i odcieni; automatyczne zapętlone odtwarzanie trybów.  Wymiary: pilot 8,5x4x0,6 cm / sterownik 32,2x1,4x1,03 cm.";Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Biały>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321480>Numer referencyjny: 85622878>Cena: 24,99zł /szt;http://localhost/src_img/9/1.jpg>;50
637524;Gniazdo i wtyczka IP20 12-24 V Goldlux;Ledy;7,99 ;Zestaw: Gniazdo i wtyczka 2pin do taśm led 10mm 12-24V. Złacze pozwala połączyć przewód z dowolnym urządzeniem zakończonym gniazdem DC. Aby zamontować wtyczkę wystarczy odizolować przewody, włożyc je i trwale skręcić w odpowiednich zaciskach. Oferowane złącze znajduje zastosowanie jako: podłączenie urządzeń z zasilaczami zakończonymi gniazdem DC, przedłużanie przewodów zasilających, złaczka do montażu taśm LED oraz wiele innych.;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508318633>Numer referencyjny: 85622871>Cena: 7,99zł /szt;http://localhost/src_img/10/1.jpg>http://localhost/src_img/10/2.jpg>;50
637520;Włącznik dotykowy ze ściemniaczem 12-24 V Goldlux;Ledy;99 ;Podtynkowy włącznik dotykowy ze ściemniaczem do taśm LED jednokolorowych 12-24V 4-kanałowy z puszką montażową w zestawie. Urządzenie służy do łatwego i szybkiego zarządzania matężeniem światła. Możliwość podłączenia wielu taśm o łącznej mocy nie przekraczającej 144W (dla 12V) i 288W (dla 24V).;Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Marka produktu: GOLDLUX>Gwarancja (w latach): 2>Kod EAN: 5901508321312>Numer referencyjny: 85622873>Cena: 99zł /szt;http://localhost/src_img/11/1.jpg>http://localhost/src_img/11/2.jpg>http://localhost/src_img/11/3.jpg>;50
614944;Zasilacz do taśm LED IP44 2 m 230 V Inspire ;Ledy;39 ;.;Szerokość (w cm): 4>Klasa szczelności (IP + IK): IP44 >Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Długość (w cm): 200>Grubość (w mm): 32>Ilość sztuk w opakowaniu: 1>Ilość wyjść: 1>Rodzaj trzonka: Męski>Marka produktu: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007257861>Numer referencyjny: 83704505>Cena: 39zł /szt;http://localhost/src_img/12/1.jpg>;50
608399;Profil aluminiowy narożny do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;49,99 ;Srebrny kątowy profil o długości 2 metrów idealnie nada dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Profil narożny ma tę szczególną cechę, że dopasowuje się do kształtu miejsca montażu, wtapiając się w ścianę lub meble.;Wysokość (w mm): 16>Długość (w mm): 2000>Głębokość (w mm): 16>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Srebrny>Rodzina kolorów: Szary / srebrny>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267402>Numer referencyjny: 83810618>Cena: 49,99zł /szt;http://localhost/src_img/13/1.jpg>http://localhost/src_img/13/2.jpg>http://localhost/src_img/13/3.jpg>http://localhost/src_img/13/4.jpg>http://localhost/src_img/13/5.jpg>http://localhost/src_img/13/6.jpg>http://localhost/src_img/13/7.jpg>;50
608398;Profil aluminiowy narożny do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;49,99 ;Biały kątowy profil o długości 2 metrów idealnie nada dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Profil narożny ma tę szczególną cechę, że dopasowuje się do kształtu miejsca montażu, wtapiając się w ścianę lub meble.;Wysokość (w mm): 16>Długość (w mm): 2000>Głębokość (w mm): 16>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Biały>Rodzina kolorów: Biały>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267396>Numer referencyjny: 83810617>Cena: 49,99zł /szt;http://localhost/src_img/14/1.jpg>http://localhost/src_img/14/2.jpg>http://localhost/src_img/14/3.jpg>http://localhost/src_img/14/4.jpg>;50
608396;Profil aluminiowy do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;39,99 ;Srebrny wpuszczany profil o długości 2 metrów idealnie nada dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Umożliwia także stworzenie ozdobnego punktu świetlnego, jednocześnie doskonale stapiając się z podłogą i meblami.;Wysokość (w mm): 16>Długość (w mm): 2000>Głębokość (w mm): 7>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Srebrny>Rodzina kolorów: Szary / srebrny>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267365>Numer referencyjny: 83810614>Cena: 39,99zł /szt;http://localhost/src_img/15/1.jpg>http://localhost/src_img/15/2.jpg>http://localhost/src_img/15/3.jpg>http://localhost/src_img/15/4.jpg>http://localhost/src_img/15/5.jpg>http://localhost/src_img/15/6.jpg>http://localhost/src_img/15/7.jpg>;50
608395;Profil aluminiowy do taśm LED dł. 1 m osłona mleczna Inspire;Ledy;15,99 ;Srebrne profile o długości 1 metra idealnie nadają się do nadania dekoracyjnego charakteru instalacji listwowej.  Umożliwiają wykończenie projektu oświetlenia listwowego. Profil zapewnia także jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy.;Wysokość (w mm): 7>Długość (w mm): 1000>Głębokość (w mm): 7>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Srebrny>Rodzina kolorów: Szary / srebrny>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267341>Numer referencyjny: 83810612>Cena: 15,99zł /szt;http://localhost/src_img/16/1.jpg>http://localhost/src_img/16/2.jpg>http://localhost/src_img/16/3.jpg>http://localhost/src_img/16/4.jpg>http://localhost/src_img/16/5.jpg>http://localhost/src_img/16/6.jpg>http://localhost/src_img/16/7.jpg>;50
608385;Profil aluminiowy do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;39,99 ;Biały wpuszczany profil o długości 2 metrów idealnie nadaje się do nadania dekoracyjnego charakteru instalacji listwowej. Pozwala na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Umożliwia także stworzenie ozdobnego punktu świetlnego, jednocześnie doskonale stapiając się z podłogą i meblami.;Wysokość (w mm): 16>Długość (w mm): 2000>Głębokość (w mm): 7>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Biały>Rodzina kolorów: Biały>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267358>Numer referencyjny: 83810613>Cena: 39,99zł /szt;http://localhost/src_img/17/1.jpg>http://localhost/src_img/17/2.jpg>http://localhost/src_img/17/3.jpg>http://localhost/src_img/17/4.jpg>http://localhost/src_img/17/5.jpg>http://localhost/src_img/17/6.jpg>http://localhost/src_img/17/7.jpg>;50
608384;Profil aluminiowy do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;34,99 ;Srebrne profile o długości 2 metrów idealnie nadają się do nadania dekoracyjnego charakteru instalacji listwowej.  Umożliwiają wykończenie projektu oświetlenia listwowego. Profil zapewnia także jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy.;Wysokość (w mm): 16>Długość (w mm): 2000>Głębokość (w mm): 8>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Srebrny>Rodzina kolorów: Szary / srebrny>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267334>Numer referencyjny: 83810611>Cena: 34,99zł /szt;http://localhost/src_img/18/1.jpg>http://localhost/src_img/18/2.jpg>http://localhost/src_img/18/3.jpg>http://localhost/src_img/18/4.jpg>http://localhost/src_img/18/5.jpg>http://localhost/src_img/18/6.jpg>http://localhost/src_img/18/7.jpg>;50
608383;Profil aluminiowy do taśm LED dł. 1 m osłona mleczna Inspire;Ledy;22,99 ;Srebrne profile o długości 1 metra idealnie nadają się do nadania dekoracyjnego charakteru instalacji listwowej.  Umożliwiają wykończenie projektu oświetlenia listwowego. Profil zapewnia także jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy.;Wysokość (w mm): 8>Długość (w mm): 1000>Głębokość (w mm): 8>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Srebrny>Rodzina kolorów: Szary / srebrny>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267310>Numer referencyjny: 83810609>Cena: 22,99zł /szt;http://localhost/src_img/19/1.jpg>http://localhost/src_img/19/2.jpg>http://localhost/src_img/19/3.jpg>http://localhost/src_img/19/4.jpg>http://localhost/src_img/19/5.jpg>http://localhost/src_img/19/6.jpg>http://localhost/src_img/19/7.jpg>;50
608379;Zasilacz do taśm LED + pilot IP44 2 m 230 V Inspire ;Ledy;79 ;.;Szerokość (w cm): 6>Klasa szczelności (IP + IK): IP44 >Materiał główny: Tworzywo sztuczne>Rodzina kolorów: Czarny>Długość (w cm): 200>Grubość (w mm): 40>Ilość sztuk w opakowaniu: 1>Ilość wyjść: 1>Rodzaj trzonka: Męski>Marka produktu: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007257878>Numer referencyjny: 83704506>Cena: 79zł /szt;http://localhost/src_img/20/1.jpg>;50
481664;Taśma LED SAWU na baterie 180 lm 1 m 4xAAA INSPIRE;Ledy;39,99 ;Taśma LED o długości 1 metra pozwoli Ci stworzyć atmosferę na półce lub w wazonie bez konieczności podłączenia do zasilania. Zestaw wyposażony jest w przełącznik oraz czujnik ruchu i działa na 3 baterie AAA (sprzedawane oddzielnie).;Źródło światła w zestawie: Tak>Długość (w m): 1>Klasa szczelności (IP + IK): IP20 >Strumień świetlny (w lumenach): 180>Maksymalna moc światła (w W): 2.5>Zmiana kolorów: Nie>Barwa światła: Ciepła biel>Zmiana barwy światła: Nie>Klasa ochronności: 3: urządzenie elektryczne zasilane bardzo niskim napięciem>Szerokość (w cm): 0.8>Materiał wykonania: Tworzywo sztuczne>Przeznaczenie: hol>Typ instalacji: Do przyklejenia>Możliwość ściemniania: Nie>Zasilanie: Baterie>Zapłon: Z czujnikiem ruchu>Kubatura ochrony: Objętość całkowita>Pobór mocy (w W): 2.5>Napięcie (w V): 4.5>Pilot na wyposażeniu: Nie>Transformator w zestawie: Nie>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276000698494>Numer referencyjny: 82259364>Cena: 39,99zł /szt;http://localhost/src_img/21/1.jpg>http://localhost/src_img/21/2.jpg>http://localhost/src_img/21/3.jpg>http://localhost/src_img/21/4.jpg>http://localhost/src_img/21/5.jpg>;50
481224;Taśma LED zewnętrzna IP65 RGBW 400 lm/m 2 m INSPIRE;Ledy;59,99 ;.;Źródło światła w zestawie: Tak>Długość (w m): 2>Klasa szczelności (IP + IK): IP65 >Strumień świetlny (w lumenach): 400>Zmiana kolorów: Tak>Barwa światła: RGB różnokolorowy>Zmiana barwy światła: Tak>Klasa ochronności: 2: urządzenie elektryczne z podwójną izolacją>Szerokość (w cm): 1.57>Materiał wykonania: Tworzywo sztuczne>Przeznaczenie: Do każdego rodzaju pomieszczeń>Typ instalacji: Do mocowania>Możliwość ściemniania: Tak>Zasilanie: Sieć zasilająca>Zapłon: Pilot>Kubatura ochrony: 2>Pobór mocy (w W): 18>Napięcie (w V): 230>Pilot na wyposażeniu: Nie>Transformator w zestawie: Nie>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276000701149>Numer referencyjny: 82260894>Cena: 59,99zł /szt;http://localhost/src_img/22/1.jpg>http://localhost/src_img/22/2.jpg>http://localhost/src_img/22/3.jpg>http://localhost/src_img/22/4.jpg>http://localhost/src_img/22/5.jpg>http://localhost/src_img/22/6.jpg>http://localhost/src_img/22/7.jpg>http://localhost/src_img/22/8.jpg>http://localhost/src_img/22/9.jpg>;50
608397;Profil aluminiowy narożny do taśm LED dł. 1 m osłona mleczna Inspire;Ledy;29,99 ;Białe kątowe profile o długości 1 metra dodadzą dekoracyjnego charakteru instalacji listwowej. Pozwalą na wykończenie projektu oświetlenia listwowego. Profil zapewnia jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy. Profil narożny ma tę szczególną cechę, że dopasowuje się do kształtu miejsca montażu, wtapiając się w ścianę lub meble.;Wysokość (w mm): 16>Długość (w mm): 1000>Głębokość (w mm): 16>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Biały>Rodzina kolorów: Biały>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267372>Numer referencyjny: 83810615>Cena: 29,99zł /szt;http://localhost/src_img/23/1.jpg>http://localhost/src_img/23/2.jpg>http://localhost/src_img/23/3.jpg>http://localhost/src_img/23/4.jpg>http://localhost/src_img/23/5.jpg>http://localhost/src_img/23/6.jpg>http://localhost/src_img/23/7.jpg>;50
608394;Profil aluminiowy do taśm LED dł. 2 m osłona mleczna Inspire;Ledy;34,99 ;Białe profile o długości 2 metrów idealnie nadają się do nadania dekoracyjnego charakteru instalacji listwowej. Umożliwiają wykończenie projektu oświetlenia listwowego. Profil zapewnia także jednorodne i rozproszone oświetlenie w zależności od wybranej taśmy.;Wysokość (w mm): 16>Długość (w mm): 2000>Głębokość (w mm): 8>Typ instalacji: Do mocowania>Materiał wykonania: Aluminium>Kolor: Biały>Rodzina kolorów: Biały>Ilość sztuk w opakowaniu: 1>Marka handlowa: INSPIRE>Gwarancja (w latach): 5>Kod EAN: 3276007267327>Numer referencyjny: 83810610>Cena: 34,99zł /szt;http://localhost/src_img/24/1.jpg>http://localhost/src_img/24/2.jpg>http://localhost/src_img/24/3.jpg>http://localhost/src_img/24/4.jpg>http://localhost/src_img/24/5.jpg>http://localhost/src_img/24/6.jpg>http://localhost/src_img/24/7.jpg>;50
